iter	RMSE
126	4.0564747
127	4.037901757
128	4.023202578
129	4.007786082
130	3.991378715
131	3.978280709
132	3.965221195
133	3.949705952
134	3.934939096
135	3.92083052
136	3.905033226
137	3.890444
138	3.878986088
139	3.863576248
140	3.848398047
141	3.834193416
142	3.823734783
143	3.812972741
144	3.801895876
145	3.791099004
146	3.778106548
147	3.767930107
148	3.754076236
149	3.742013313
150	3.731659929
151	3.720424636
152	3.709919938
153	3.699603559
154	3.690468916
155	3.679026168
156	3.668107062
157	3.659265299
158	3.651798622
159	3.643103873
160	3.635170433
161	3.627251458
162	3.619147078
163	3.608775805
164	3.602719016
165	3.593467081
166	3.587114594
167	3.580749573
168	3.574097823
169	3.564123432
170	3.556469848
171	3.550662097
172	3.540934074
173	3.531278644
174	3.523936244
175	3.517341908
176	3.507483138
177	3.498788799
178	3.493181986
179	3.486881074
180	3.480394561
181	3.47107737
182	3.465775041
183	3.457104761
184	3.451939587
185	3.443032296
186	3.435505289
187	3.427323133
188	3.418740283
189	3.413564032
190	3.40796849
191	3.403413355
192	3.398302701
193	3.391030995
194	3.385140343
195	3.379462844
196	3.374310361
197	3.368913286
198	3.363703565
199	3.358111327
200	3.353479852
201	3.346794536
202	3.341382462
203	3.335410948
204	3.327647992
205	3.32305433
206	3.318858863
207	3.31444231
208	3.310454252
209	3.3046152
210	3.298478025
211	3.293864668
212	3.289615317
213	3.285249018
214	3.280737691
215	3.275509563
216	3.270000144
217	3.265803514
218	3.261209199
219	3.257280615
220	3.253431177
221	3.249414996
222	3.244115658
223	3.240165917
224	3.236460882
225	3.232261453
226	3.228104991
227	3.224902291
228	3.221172397
229	3.217442079
230	3.213542969
231	3.209862431
232	3.20608441
233	3.20124934
234	3.197151442
235	3.193744598
236	3.190611922
237	3.187360132
238	3.183942662
239	3.180598671
240	3.177272921
241	3.172651449
242	3.168910336
243	3.165507138
244	3.162909985
245	3.159028116
246	3.15624458
247	3.15266114
248	3.148222561
249	3.144452955
250	3.141337183
251	3.138527705
252	3.133996259
253	3.131286095
254	3.128243837
255	3.125648443
256	3.121572239
257	3.118676048
258	3.116026944
259	3.113454342
260	3.110685866
261	3.106715809
262	3.103096488
263	3.100671039
264	3.098188934
265	3.095712152
266	3.093095653
267	3.090710533
268	3.088339823
269	3.085860886
270	3.083357408
271	3.08072689
272	3.078274968
273	3.076124577
274	3.073265768
275	3.070932759
276	3.067984501
277	3.065073219
278	3.0624368
279	3.058550008
280	3.053978656
281	3.050956448
282	3.048171992
283	3.044607066
284	3.042529979
285	3.040213898
286	3.037737322
287	3.034393509
288	3.032501414
289	3.029565709
290	3.027187799
291	3.02525849
292	3.02337835
293	3.020809484
294	3.018244728
295	3.016294579
296	3.014187295
297	3.012123584
298	3.010318314
299	3.008312168
300	3.005117973
301	3.003026564
302	3.001023529
303	2.999410293
304	2.997827829
305	2.994688497
306	2.992512972
307	2.990085832
308	2.988144922
309	2.986218701
310	2.984319563
311	2.982494881
312	2.980324336
313	2.97865682
314	2.976944727
315	2.974895283
316	2.973032228
317	2.970932607
318	2.969159038
319	2.96667765
320	2.964820398
321	2.963197175
322	2.96075433
323	2.959058419
324	2.957345125
325	2.955485897
326	2.953545985
327	2.951761158
328	2.950223118
329	2.948353775
330	2.946776519
331	2.945257099
332	2.943535255
333	2.941905071
334	2.940390639
335	2.93852785
336	2.936968232
337	2.935564712
338	2.93382026
339	2.932410851
340	2.930817361
341	2.929372974
342	2.927616558
343	2.926175832
344	2.924379231
345	2.92248886
346	2.92090281
347	2.918666645
348	2.917116979
349	2.915774169
350	2.914146001
351	2.912026478
352	2.910641687
353	2.909464803
354	2.907661122
355	2.906318787
356	2.905072531
357	2.903781745
358	2.901838743
359	2.90035946
360	2.898061915
361	2.896636637
362	2.895335975
363	2.893976674
364	2.892585719
365	2.89113087
366	2.889514432
367	2.888339633
368	2.886863425
369	2.885271285
370	2.883842622
371	2.882504806
372	2.881235111
373	2.880045381
374	2.878878383
375	2.877246839
376	2.876252674
377	2.87511113
378	2.873973203
379	2.872720355
380	2.871550408
381	2.870413734
382	2.869102314
383	2.867972796
384	2.866583548
385	2.865546323
386	2.863333767
387	2.861699683
388	2.860722059
389	2.85957851
390	2.858491564
391	2.857565276
392	2.85600017
393	2.854956668
394	2.85379274
395	2.852685902
396	2.850309222
397	2.849420129
398	2.848197351
399	2.847218729
400	2.845731115
401	2.844733188
402	2.843634154
403	2.84238234
404	2.841401694
405	2.839728621
406	2.838581479
407	2.837543379
408	2.836611693
409	2.835291108
410	2.833410918
411	2.832472679
412	2.831513062
413	2.830558051
414	2.829519303
415	2.828539411
416	2.827654232
417	2.826844135
418	2.825723777
419	2.824463219
420	2.823430042
421	2.821706301
422	2.820038445
423	2.818930219
424	2.817721241
425	2.8169791
426	2.815850658
427	2.81499015
428	2.813217584
429	2.812069075
430	2.811105418
431	2.810091221
432	2.809140467
433	2.808242474
434	2.806540194
435	2.805814079
436	2.804541603
437	2.803851265
438	2.802875889
439	2.802044902
440	2.801320745
441	2.80063308
442	2.799588791
443	2.798700083
444	2.797996288
445	2.796988736
446	2.796070531
447	2.795101732
448	2.794043601
449	2.7931645
450	2.792141539
451	2.791117132
452	2.789451938
453	2.788409582
454	2.787557795
455	2.786629684
456	2.785969215
457	2.784929509
458	2.784171975
459	2.783326563
460	2.782338351
461	2.78141331
462	2.78061781
463	2.779778501
464	2.778749387
465	2.778019511
466	2.776561727
467	2.775921701
468	2.774737376
469	2.773979335
470	2.773102967
471	2.772420421
472	2.771503482
473	2.770816671
474	2.770238704
475	2.769132029
476	2.768218965
477	2.767676294
478	2.766715039
479	2.766015271
480	2.765181887
481	2.764462067
482	2.763755602
483	2.762749161
484	2.762041854
485	2.761444227
486	2.760821303
487	2.760213161
488	2.759448329
489	2.758791816
490	2.75822515
491	2.757210717
492	2.756612774
493	2.755999265
494	2.755425928
495	2.754617954
496	2.75395549
497	2.753333512
498	2.752863075
499	2.752032155
500	2.751548472
501	2.749965581
502	2.748984324
503	2.747755392
504	2.746946836
505	2.746455077
506	2.745594149
507	2.744605527
508	2.74389608
509	2.742988603
510	2.742409496
511	2.741837156
512	2.741006024
513	2.739934657
514	2.739440219
515	2.738834588
516	2.738232568
517	2.737713593
518	2.736943968
519	2.736281256
520	2.735762321
521	2.734424633
522	2.733290597
523	2.732794196
524	2.732274907
525	2.731781564
526	2.73121687
527	2.730663391
528	2.730160448
529	2.729300145
530	2.728698065
531	2.727944829
532	2.72736215
533	2.72610385
534	2.725400793
535	2.724953081
536	2.72444641
537	2.723257657
538	2.722130156
539	2.721569524
540	2.721109385
541	2.720618699
542	2.71988442
543	2.719388692
544	2.718882138
545	2.717709909
546	2.716313345
547	2.715805699
548	2.715342921
549	2.714779432
550	2.714133673
551	2.713661456
552	2.713120106
553	2.712604989
554	2.712162212
555	2.711478346
556	2.710957878
557	2.710415167
558	2.709730099
559	2.70893779
560	2.708412782
561	2.707635738
562	2.706970272
563	2.706438674
564	2.70583328
565	2.705165608
566	2.704759903
567	2.704296117
568	2.70337153
569	2.702957577
570	2.702039807
571	2.701319149
572	2.700894266
573	2.700319459
574	2.699716331
575	2.699192815
576	2.698546766
577	2.698182117
578	2.696972797
579	2.69653007
580	2.696024799
581	2.695462428
582	2.694626679
583	2.694102514
584	2.69354623
585	2.692974827
586	2.692625555
587	2.692198065
588	2.691137122
589	2.690627454
590	2.6901728
591	2.689641961
592	2.688798071
593	2.687818542
594	2.68746641
595	2.686336079
596	2.685798264
597	2.685015818
598	2.684513108
599	2.684131863
600	2.683811575
601	2.683322079
602	2.682272996
603	2.681884699
604	2.681263074
605	2.680827454
606	2.680369544
607	2.679532505
608	2.679035661
609	2.678310418
610	2.677926443
611	2.6775605
612	2.67680888
613	2.676333904
614	2.675887219
615	2.674924013
616	2.674609258
617	2.673766843
618	2.673272628
619	2.672612729
620	2.672302755
621	2.671994892
622	2.671518308
623	2.671067247
624	2.670668862
625	2.67006551
626	2.668999762
627	2.668494654
628	2.667598735
629	2.667164052
630	2.666759018
631	2.666130063
632	2.665439776
633	2.665041459
634	2.664651452
635	2.664129142
636	2.663672683
637	2.663310072
638	2.662731095
639	2.662280964
640	2.661714225
641	2.661372025
642	2.660981453
643	2.660564696
644	2.659956231
645	2.659421993
646	2.659014477
647	2.658384075
648	2.657657002
649	2.657181741
650	2.656572105
651	2.656146161
652	2.655687536
653	2.655266052
654	2.654705165
655	2.65434055
656	2.653213053
657	2.652676797
658	2.651716532
659	2.651108662
660	2.650622114
661	2.649855351
662	2.649394607
663	2.649020062
664	2.648717199
665	2.648335002
666	2.64797793
667	2.647564463
668	2.647273817
669	2.646585437
670	2.646015457
671	2.64563198
672	2.64468255
673	2.644354168
674	2.644051894
675	2.643717577
676	2.643369162
677	2.642988618
678	2.642527209
679	2.641951645
680	2.641527722
681	2.641224836
682	2.640789503
683	2.640382009
684	2.639850275
685	2.639544828
686	2.639011367
687	2.638527123
688	2.638073701
689	2.637754765
690	2.637291425
691	2.636775584
692	2.636499251
693	2.636206295
694	2.635858831
695	2.635400349
696	2.634813482
697	2.634022156
698	2.633557938
699	2.633162513
700	2.632802376
701	2.632321692
702	2.631785463
703	2.631476948
704	2.630786536
705	2.630098803
706	2.629450501
707	2.628994975
708	2.628594023
709	2.628212975
710	2.62766248
711	2.627339324
712	2.626773075
713	2.62647425
714	2.626157936
715	2.625632178
716	2.62531523
717	2.62501398
718	2.624637906
719	2.624223572
720	2.623566976
721	2.623021657
722	2.622664158
723	2.6221203
724	2.621815672
725	2.621355592
726	2.620646012
727	2.620076621
728	2.619505365
729	2.61909492
730	2.618499964
731	2.618196862
732	2.617835944
733	2.617260128
734	2.616934573
735	2.616625095
736	2.615849848
737	2.615506659
738	2.615118791
739	2.61475391
740	2.614445801
741	2.614094595
742	2.613828073
743	2.613337503
744	2.612681614
745	2.611783684
746	2.611246732
747	2.610873076
748	2.610290181
749	2.609899417
750	2.609517757
751	2.609279473
752	2.608879394
753	2.608362421
754	2.607910319
755	2.607499636
756	2.607164096
757	2.606676609
758	2.606298606
759	2.606042428
760	2.605424372
761	2.604862845
762	2.604447018
763	2.603891946
764	2.603470982
765	2.602915394
766	2.602287818
767	2.601740829
768	2.601451376
769	2.601019597
770	2.60043116
771	2.599931188
772	2.599377202
773	2.59887793
774	2.598626592
775	2.597987958
776	2.597637625
777	2.597285249
778	2.596792544
779	2.596480032
780	2.595836693
781	2.595495903
782	2.594923108
783	2.594494957
784	2.594113074
785	2.593873236
786	2.593330824
787	2.593035178
788	2.592803309
789	2.592108767
790	2.591532617
791	2.591106121
792	2.590657837
793	2.590368111
794	2.589995377
795	2.589592992
796	2.589223917
797	2.58882083
798	2.588445956
799	2.588075041
800	2.58760813
801	2.587322186
802	2.586947972
803	2.586540908
804	2.585928191
805	2.585461162
806	2.585199835
807	2.584965194
808	2.584614742
809	2.584231238
810	2.583990692
811	2.583624795
812	2.583264731
813	2.582988884
814	2.582490422
815	2.581976702
816	2.581543522
817	2.581296841
818	2.580657313
819	2.580362888
820	2.579930212
821	2.579347285
822	2.579109336
823	2.578729059
824	2.578358979
825	2.577850897
826	2.577526548
827	2.577192864
828	2.576586096
829	2.576285408
830	2.576021342
831	2.575670447
832	2.575397431
833	2.57502722
834	2.574797053
835	2.574371872
836	2.574099812
837	2.573808569
838	2.573554719
839	2.573176825
840	2.57293537
841	2.572526765
842	2.572051765
843	2.57164816
844	2.571224331
845	2.570922713
846	2.570579383
847	2.570224451
848	2.569820131
849	2.569173958
850	2.568887451
851	2.568391375
852	2.568049296
853	2.567789725
854	2.567534441
855	2.567098776
856	2.566798909
857	2.566459034
858	2.565941942
859	2.565557713
860	2.565103673
861	2.564825534
862	2.564449874
863	2.564016966
864	2.563614157
865	2.563336571
866	2.563081334
867	2.562821238
868	2.562564685
869	2.56220042
870	2.561350138
871	2.560930509
872	2.560591061
873	2.560304701
874	2.559888013
875	2.559286493
876	2.559003144
877	2.558726792
878	2.558128767
879	2.557881036
880	2.557460543
881	2.557232511
882	2.556530414
883	2.556224592
884	2.555882743
885	2.555409078
886	2.554999771
887	2.554536542
888	2.553809671
889	2.553462699
890	2.552527394
891	2.551919475
892	2.551517409
893	2.55116724
894	2.550199138
895	2.549708659
896	2.54946879
897	2.549078293
898	2.548789545
899	2.548238976
900	2.548019255
901	2.5473811
902	2.547003406
903	2.546404303
904	2.545635747
905	2.545211927
906	2.544607352
907	2.544101569
908	2.543796067
909	2.543274233
910	2.542840006
911	2.542467361
912	2.541978862
913	2.541567858
914	2.541286015
915	2.540895684
916	2.540476835
917	2.540143594
918	2.53974917
919	2.539223743
920	2.53887765
921	2.538493707
922	2.538146267
923	2.537799624
924	2.537528601
925	2.537114921
926	2.536693759
927	2.536247996
928	2.536012059
929	2.535697015
930	2.535182946
931	2.534777058
932	2.534415989
933	2.533980559
934	2.533581186
935	2.533286309
936	2.533073752
937	2.532873675
938	2.532316352
939	2.531886155
940	2.531415579
941	2.531205433
942	2.530901504
943	2.530541878
944	2.530049
945	2.529851295
946	2.529421376
947	2.529109168
948	2.528724368
949	2.528311874
950	2.52787352
951	2.527572083
952	2.527204465
953	2.526903071
954	2.526618565
955	2.526278581
956	2.526070838
957	2.525704627
958	2.525246898
959	2.524991614
960	2.524573425
961	2.524161984
962	2.523747848
963	2.523417731
964	2.522740827
965	2.522443151
966	2.522096386
967	2.521876317
968	2.521522793
969	2.521111074
970	2.52057263
971	2.520402
972	2.520036189
973	2.519556629
974	2.519198331
975	2.518769327
976	2.518536188
977	2.51830164
978	2.517739494
979	2.517391014
980	2.516983883
981	2.516612624
982	2.516293933
983	2.515886595
984	2.515530133
985	2.515068179
986	2.514850358
987	2.514447338
988	2.514222759
989	2.513931682
990	2.513688466
991	2.513288542
992	2.513052541
993	2.512748891
994	2.512569613
995	2.512154382
996	2.511820749
997	2.511440764
998	2.511026634
999	2.510685028
